regija,leto,Emigrants to abroad - Men,Emigrants to abroad - Total,Emigrants to abroad - Women,Emigrants to abroad per 1000 population,Emigrants to other regions per 1000 population,Emigrants to other statistical regions - Men,Emigrants to other statistical regions - Total,Emigrants to other statistical regions - Women,Employment rate,Employment rate for men,Employment rate for women,Gross income - TOTAL,Immigrants from abroad - Men,Immigrants from abroad - Total,Immigrants from abroad - Women,Immigrants from abroad per 1000 populationv,Immigrants from other regions per 1000 population,Immigrants from other statistical regions - Men,Immigrants from other statistical regions - Total,Immigrants from other statistical regions - Women,Income from work,Labour migration index,Labour migration index - men,Labour migration index - women,Natural increase,Net migration between statistical regions,Net migration between statistical regions - Men,Net migration between statistical regions - Total,Net migration between statistical regions - Women,Net migration between statistical regions per 1000 population,Net migration from abroad,Net migration from abroad - Men,Net migration from abroad - Total,Net migration from abroad - Women,Net migration from abroad per 1000 population,"Parental, family and social benefits",Pensions,Persons in employment [excluding farmers] whose workplace is in the statistical region of their residence,Persons in employment [excluding farmers] whose workplace is in the statistical region of their residence - men,Persons in employment [excluding farmers] whose workplace is in the statistical region of their residence - women,Persons in employment [excluding farmers] whose workplace is not in the statistical region of their residence,Persons in employment [excluding farmers] whose workplace is not in the statistical region of their residence - men,Persons in employment [excluding farmers] whose workplace is not in the statistical region of their residence - women,"Property, capital and other income",Total increase,Total increase per 1000 population,Total net migration - Men,Total net migration - Total,Total net migration - Women,Total net migration per 1000 population
gorenjska,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gorenjska,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gorenjska,1995,58.0,106.0,48.0,0.5,2.5,214.0,490.0,276.0,,,,,99.0,184.0,85.0,0.9,3.4,296.0,670.0,374.0,,,,,284.0,180.0,82.0,180.0,98.0,0.9,78.0,41.0,78.0,37.0,0.4,,,,,,,,,,542.0,2.8,123.0,258.0,135.0,1.3
gorenjska,1996,45.0,77.0,32.0,0.4,3.1,279.0,616.0,337.0,,,,,69.0,143.0,74.0,0.7,3.9,329.0,762.0,433.0,,,,,421.0,146.0,50.0,146.0,96.0,0.7,66.0,24.0,66.0,42.0,0.3,,,,,,,,,,633.0,3.2,74.0,212.0,138.0,1.1
gorenjska,1997,63.0,96.0,33.0,0.5,3.1,268.0,608.0,340.0,,,,,41.0,86.0,45.0,0.4,3.5,301.0,683.0,382.0,,,,,338.0,75.0,33.0,75.0,42.0,0.4,-10.0,-22.0,-10.0,12.0,-0.1,,,,,,,,,,403.0,2.1,11.0,65.0,54.0,0.3
gorenjska,1998,748.0,961.0,213.0,4.9,3.1,244.0,614.0,370.0,,,,,275.0,469.0,194.0,2.4,3.5,315.0,693.0,378.0,,,,,246.0,79.0,71.0,79.0,8.0,0.4,-492.0,-473.0,-492.0,-19.0,-2.5,,,,,,,,,,-167.0,-0.9,-402.0,-413.0,-11.0,-2.1
gorenjska,1999,140.0,232.0,92.0,1.2,3.2,277.0,633.0,356.0,,,,,350.0,499.0,149.0,2.5,3.5,306.0,694.0,388.0,,,,,215.0,61.0,29.0,61.0,32.0,0.3,267.0,210.0,267.0,57.0,1.4,,,,,,,,,,543.0,2.8,239.0,328.0,89.0,1.7
gorenjska,2000,268.0,420.0,152.0,2.1,2.8,244.0,547.0,303.0,,,,,253.0,388.0,135.0,2.0,3.0,264.0,598.0,334.0,,,,,354.0,51.0,20.0,51.0,31.0,0.3,-32.0,-15.0,-32.0,-17.0,-0.2,,,,,,,,,,373.0,1.9,5.0,19.0,14.0,0.1
gorenjska,2001,257.0,370.0,113.0,1.9,3.9,342.0,776.0,434.0,,,,,355.0,546.0,191.0,2.8,3.3,289.0,644.0,355.0,,,,,255.0,-132.0,-53.0,-132.0,-79.0,-0.7,176.0,98.0,176.0,78.0,0.9,,,,,,,,,,299.0,1.5,45.0,44.0,-1.0,0.2
gorenjska,2002,383.0,645.0,262.0,3.3,3.8,359.0,746.0,387.0,56.6,61.2,51.8,,407.0,672.0,265.0,3.4,3.3,297.0,648.0,351.0,,,,,304.0,-98.0,-62.0,-98.0,-36.0,-0.5,27.0,24.0,27.0,3.0,0.1,,,,,,,,,,233.0,1.2,-38.0,-71.0,-33.0,-0.4
